zip,zone,lat,lon
00705,10b,18.14,-66.26
00610,10b,18.28,-67.14
00612,10b,18.45,-66.73
00601,10b,18.16,-66.72
00602,10b,18.38,-67.18
00603,10b,18.43,-67.15
00703,10b,18.25,-66.1
00704,10b,17.96,-66.22
07675,6a,40.98,-74.03
07677,6a,41.02,-74.05
07885,6a,40.89,-74.58
07981,6a,40.82,-74.41
07999,6a,40.82,-74.41
08889,6a,40.6,-74.76
07095,6a,40.55,-74.28
07481,6a,40.99,-74.16
10451,6a,40.84,-73.87
10452,6a,40.84,-73.87
10453,6a,40.84,-73.87
10454,6a,40.84,-73.87
10455,6a,40.84,-73.87
10456,6a,40.84,-73.87
10457,6a,40.84,-73.87
10458,6a,40.84,-73.87
10459,6a,40.84,-73.87
10460,6a,40.84,-73.87
10461,6a,40.84,-73.87
10462,6a,40.84,-73.87
10463,6a,40.84,-73.87
10464,6a,40.84,-73.87
10465,6a,40.84,-73.87
10466,6a,40.84,-73.87
10467,6a,40.84,-73.87
10468,6a,40.84,-73.87
10469,6a,40.84,-73.87
10470,6a,40.84,-73.87
10471,6a,40.84,-73.87
10472,6a,40.84,-73.87
10473,6a,40.84,-73.87
10474,6a,40.84,-73.87
10475,6a,40.84,-73.87
10001,6a,40.71,-73.99
10002,6a,40.71,-73.99
10003,6a,40.71,-73.99
10004,6a,40.71,-73.99
10005,6a,40.71,-73.99
10006,6a,40.71,-73.99
10007,6a,40.71,-73.99
10009,6a,40.71,-73.99
10010,6a,40.71,-73.99
10011,6a,40.71,-73.99
10012,6a,40.71,-73.99
10013,6a,40.71,-73.99
10014,6a,40.71,-73.99
10016,6a,40.71,-73.99
10017,6a,40.71,-73.99
10018,6a,40.71,-73.99
10019,6a,40.71,-73.99
10020,6a,40.71,-73.99
10021,6a,40.77,-73.95
10022,6a,40.71,-73.99
10023,6a,40.71,-73.99
10024,6a,40.71,-73.99
10025,6a,40.71,-73.99
10026,6a,40.71,-73.99
10027,6a,40.71,-73.99
10028,6a,40.71,-73.99
10029,6a,40.71,-73.99
10030,6a,40.71,-73.99
10031,6a,40.71,-73.99
10032,6a,40.71,-73.99
10033,6a,40.71,-73.99
10034,6a,40.71,-73.99
00714,10b,17.97,-66.06
00616,10b,18.4,-66.66
00617,10b,18.45,-66.53
00794,10b,18.18,-66.3
00622,10b,17.99,-67.15
00623,10b,18.08,-67.14
00627,10b,18.48,-66.84
00729,10b,18.37,-65.9
00979,10b,18.4,-65.98
00982,10b,18.4,-65.98
00983,10b,18.4,-65.98
00985,10b,18.4,-65.98
00987,10b,18.4,-65.98
00736,10b,18.11,-66.16
00739,10b,18.17,-66.15
00769,10b,18.08,-66.36
00782,10b,18.22,-66.22
00783,10b,18.34,-66.31
10200,6a,40.77,73.95
00659,10b,18.48,-66.82
00660,10b,18.14,-67.12
00791,10b,18.15,-65.81
00662,10b,18.5,-67.02
00664,10b,18.22,-66.59
00795,10b,18.05,-66.5
00777,10b,18.22,-65.91
00728,10b,17.98,-66.6
00725,10b,18.23,-66.03
00727,10b,18.23,-66.03
00735,10b,18.26,-65.64
00638,10b,18.33,-66.47
00780,10b,18.09,-66.57
00646,10b,18.47,-66.27
00647,10b,17.96,-66.94
00738,10b,18.33,-65.65
00650,10b,18.36,-66.56
00652,10b,18.45,-66.6
00653,10b,17.97,-66.93
00784,10b,17.97,-66.11
00656,10b,18.02,-66.79
00965,10b,18.38,-66.11
00966,10b,18.38,-66.11
00968,10b,18.38,-66.11
00969,10b,18.38,-66.11
00971,10b,18.38,-66.11
00778,10b,18.25,-65.97
00667,10b,18.04,-67.06
00669,10b,18.29,-66.88
00670,10b,18.27,-67.06
00771,10b,18.18,-65.86
00934,10b,18.41,-66.11
00772,10b,18.43,-65.88
